Transaction ID,Customer ID,Gender,Age,Product Category,Price per Unit,Geography,Product name,Salesperson,Profit,Total Amount,Quantity,Order Date,Ship Date
812972,CUST6351,Male,35,Phones,70.32,"United States,Los Angeles,California",Ooma Telo VoIP Home Phone System,Alice Johnson,37.8,604.75,6,2025-02-22,2025-02-28
335942,CUST6217,Male,30,Furnishings,47.73,"United States,Fresno,California","DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",George Lee,14.57,40.48,2,2023-09-25,2023-10-01
648390,CUST4409,Female,33,Art,58.98,"United States,San Francisco,California",Newell 35,Diana Patel,1.9,6.56,2,2024-02-22,2024-02-25
237723,CUST5053,Male,34,Art,72.59,"United States,San Francisco,California","Eberhard Faber 3 1/2"" Golf Pencils",Hannah Brown,3.72,14.88,2,2024-02-29,2024-03-07
617492,CUST8000,Male,57,Accessories,79.47,"United States,San Francisco,California",ImationÂ SwivelÂ Flash DriveÂ USBÂ flash driveÂ - 8 GB,Charlie Davis,15.92,45.48,4,2025-01-15,2025-01-19
350208,CUST2947,Female,28,Art,39.01,"United States,San Francisco,California","BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",Diana Patel,9.92,25.44,6,2024-07-23,2024-07-30
409294,CUST3862,Male,29,Accessories,55.43,"United States,Los Angeles,California",SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Diana Patel,8.62,66.3,3,2023-04-16,2023-04-23
199337,CUST6219,Male,32,Art,45.95,"United States,San Francisco,California",Newell 308,Diana Patel,0.84,3.36,2,2024-08-28,2024-09-04
975347,CUST3220,Female,19,Binders,90.58,"United States,San Francisco,California",Wilson Jones Leather-Like Binders with DublLock Round Rings,Hannah Brown,9.43,27.94,4,2024-11-13,2024-11-20
681158,CUST2154,Male,37,Phones,33.81,"United States,San Francisco,California",Griffin GC17055 Auxiliary Audio Cable,Diana Patel,2.88,28.78,2,2025-01-30,2025-02-05
181765,CUST1794,Female,51,Labels,44.1,"United States,Pomona,California",Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,Ethan Wright,9.0,18.75,5,2024-12-16,2024-12-21
929187,CUST9964,Female,39,Phones,67.95,"United States,Albuquerque,New Mexico",AT&T TR1909W,Alice Johnson,22.68,302.38,3,2024-01-05,2024-01-08
690876,CUST4235,Male,28,Storage,58.03,"United States,Seattle,Washington",Sterilite Show Offs Storage Containers,Bob Smith,0.0,15.84,3,2024-11-20,2024-11-24
746557,CUST2763,Female,58,Labels,93.11,"United States,Seattle,Washington",Avery 490,Ethan Wright,22.2,44.4,3,2024-07-31,2024-08-06
250452,CUST9212,Male,23,Bookcases,371.51,"United States,San Francisco,California",O'Sullivan Living Dimensions 2-Shelf Bookcases,Alice Johnson,-12.1,205.67,2,2024-03-04,2024-03-10
121761,CUST1448,Male,25,Binders,30.11,"United States,San Francisco,California",GBC DocuBind 200 Manual Binding Machine,Ethan Wright,252.59,673.57,2,2025-01-28,2025-02-02
421700,CUST1747,Male,46,Appliances,74.48,"United States,San Francisco,California",Fellowes Advanced Computer Series Surge Protectors,Hannah Brown,14.83,52.98,2,2024-10-30,2024-11-04
323605,CUST3182,Male,53,Labels,48.89,"United States,Vallejo,California",Avery 490,Diana Patel,14.8,29.6,2,2024-11-01,2024-11-07
693434,CUST4277,Male,27,Binders,25.98,"United States,Vallejo,California","Pressboard Data Binder, Crimson, 12"" X 8 1/2""",Ethan Wright,5.55,17.09,4,2024-02-03,2024-02-07
244443,CUST6524,Female,27,Envelopes,52.4,"United States,Los Angeles,California",Staples,Bob Smith,5.58,11.16,2,2023-12-28,2024-01-02
387425,CUST6008,Female,57,Accessories,87.83,"United States,Los Angeles,California",Enermax Briskie RF Wireless Keyboard and Mouse Combo,Bob Smith,22.43,62.31,3,2023-06-03,2023-06-09
409969,CUST4149,Male,36,Accessories,65.91,"United States,Los Angeles,California",Logitech G600 MMO Gaming Mouse,Hannah Brown,57.59,159.98,2,2024-11-18,2024-11-22
138723,CUST6321,Female,38,Labels,78.66,"United States,San Francisco,California",Avery 518,Charlie Davis,9.07,18.9,6,2023-12-27,2024-01-02
565492,CUST5120,Female,42,Binders,30.42,"United States,Los Angeles,California",Avery Non-Stick Binders,Bob Smith,2.25,7.18,2,2024-05-05,2024-05-09
647886,CUST1238,Female,31,Tables,23.94,"United States,Seattle,Washington","Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",George Lee,111.1,653.55,3,2023-10-03,2023-10-10
959543,CUST1369,Male,26,Accessories,30.46,"United States,Seattle,Washington",Kingston Digital DataTraveler 32GB USB 2.0,Alice Johnson,2.03,33.9,2,2023-03-31,2023-04-07
769049,CUST1884,Male,37,Furnishings,82.82,"United States,Los Angeles,California",Tenex B1-RE Series Chair Mats for Low Pile Carpets,Bob Smith,15.63,91.96,2,2024-01-28,2024-01-31
901317,CUST4594,Female,51,Furnishings,65.91,"United States,Los Angeles,California",C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,George Lee,12.91,33.11,7,2023-07-14,2023-07-17
364502,CUST4168,Female,47,Paper,14.77,"United States,Los Angeles,California",Xerox 211,Ethan Wright,9.33,19.44,3,2023-05-12,2023-05-19
629158,CUST2933,Female,60,Paper,6.78,"United States,Los Angeles,California",Xerox 194,George Lee,26.63,55.48,1,2023-10-12,2023-10-19
161827,CUST4723,Female,34,Art,46.58,"United States,Los Angeles,California",Boston Home & Office Model 2000 Electric Pencil Sharpeners,Hannah Brown,18.45,70.95,3,2025-01-12,2025-01-16
105760,CUST4785,Female,64,Binders,25.77,"United States,Los Angeles,California","Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Alice Johnson,23.77,65.57,2,2024-06-27,2024-07-01
654075,CUST2755,Female,25,Accessories,48.73,"United States,Los Angeles,California",Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,Ethan Wright,131.99,299.97,3,2023-09-20,2023-09-23
782388,CUST8921,Female,40,Fasteners,23.12,"United States,Glendale,Arizona",Binder Clips by OIC,Alice Johnson,0.83,2.37,2,2025-01-12,2025-01-19
502572,CUST6135,Female,60,Paper,11.26,"United States,Glendale,Arizona",Things To Do Today Spiral Book,Bob Smith,6.89,19.01,3,2024-03-23,2024-03-27
535628,CUST6968,Female,45,Fasteners,17.22,"United States,Chandler,Arizona","Alliance Super-Size Bands, Assorted Sizes",Ethan Wright,-11.83,49.79,8,2024-08-20,2024-08-25
416931,CUST8492,Female,53,Tables,74.77,"United States,Concord,California",Bevis 36 x 72 Conference Tables,Bob Smith,2.49,99.59,1,2024-06-20,2024-06-24
403153,CUST7840,Male,23,Accessories,94.6,"United States,Concord,California",Logitech Wireless Headset h800,Hannah Brown,139.99,399.96,4,2023-05-05,2023-05-09
307184,CUST7960,Male,43,Binders,81.03,"United States,Lewiston,Idaho",GBC Personal VeloBind Strips,Fiona Green,3.35,9.58,1,2024-12-02,2024-12-05
515437,CUST9015,Male,53,Storage,85.13,"United States,Great Falls,Montana",Eldon Simplefile Box Office,Ethan Wright,24.38,87.08,7,2024-08-03,2024-08-10
872747,CUST2009,Male,42,Phones,12.59,"United States,Great Falls,Montana",AT&T SB67148 SynJ,Fiona Green,9.24,105.58,2,2024-10-01,2024-10-05
311829,CUST2405,Male,46,Accessories,33.08,"United States,Great Falls,Montana",Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,Hannah Brown,91.32,217.44,6,2024-08-17,2024-08-21
708966,CUST3007,Female,30,Phones,67.75,"United States,Redondo Beach,California",Pyle PMP37LED,Charlie Davis,94.07,1075.09,14,2024-04-27,2024-05-01
867784,CUST4299,Female,58,Phones,57.06,"United States,Redondo Beach,California",AT&T 1080 Corded phone,Charlie Davis,38.36,438.37,4,2025-02-07,2025-02-14
404462,CUST9351,Female,27,Binders,14.95,"United States,Redondo Beach,California",Recycled Pressboard Report Cover with Reinforced Top Hinge,Diana Patel,6.56,18.09,7,2024-03-04,2024-03-09
466875,CUST4457,Male,27,Bookcases,190.58,"United States,Redondo Beach,California",O'Sullivan Living Dimensions 2-Shelf Bookcases,George Lee,-18.15,308.5,3,2024-08-21,2024-08-28
831148,CUST2496,Male,62,Art,54.47,"United States,Lodi,California",Prismacolor Color Pencil Set,Alice Johnson,16.27,39.68,2,2024-02-28,2024-03-05
546774,CUST1572,Male,41,Appliances,148.5,"United States,Los Angeles,California",Belkin F9G930V10-GRY 9 Outlet Surge,George Lee,31.02,106.96,2,2024-04-09,2024-04-14
470538,CUST2733,Male,55,Furnishings,19.7,"United States,Los Angeles,California","Howard Miller 13"" Diameter Goldtone Round Wall Clock",Hannah Brown,76.98,187.76,4,2024-10-12,2024-10-19
950329,CUST2577,Male,56,Machines,67.6,"United States,Los Angeles,California",Ativa MDM8000 8-Sheet Micro-Cut Shredder,Charlie Davis,97.19,287.97,4,2023-06-07,2023-06-11
478528,CUST9478,Male,57,Art,94.86,"United States,Los Angeles,California",Newell 351,Alice Johnson,3.8,13.12,4,2024-03-24,2024-03-31
328969,CUST9346,Female,50,Art,61.43,"United States,Los Angeles,California","Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",Diana Patel,3.55,10.75,5,2024-03-17,2024-03-23
427083,CUST9502,Female,53,Fasteners,95.22,"United States,Los Angeles,California","Advantus Push Pins, Aluminum Head",Charlie Davis,3.6,11.62,2,2023-07-09,2023-07-14
466894,CUST3757,Male,29,Furnishings,40.81,"United States,San Jose,California","Executive Impressions 13"" Chairman Wall Clock",Ethan Wright,26.65,76.14,3,2023-12-08,2023-12-12
408145,CUST4792,Female,55,Furnishings,81.55,"United States,Los Angeles,California","GE 4 Foot Flourescent Tube, 40 Watt",Ethan Wright,27.56,59.92,4,2025-02-10,2025-02-13
832143,CUST9516,Female,20,Binders,80.08,"United States,Los Angeles,California",ACCOHIDE Binder by Acco,Ethan Wright,5.58,16.52,5,2024-02-05,2024-02-11
479281,CUST5256,Female,65,Paper,17.32,"United States,San Francisco,California",Xerox 1891,Diana Patel,22.99,48.91,1,2023-12-21,2023-12-26
789527,CUST9294,Female,45,Furnishings,36.38,"United States,San Gabriel,California","Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Bob Smith,63.68,303.25,5,2023-03-23,2023-03-29
921864,CUST7883,Male,40,Appliances,60.29,"United States,San Gabriel,California",Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,Ethan Wright,78.51,270.72,3,2024-07-02,2024-07-05
696574,CUST9105,Male,36,Chairs,43.21,"United States,San Gabriel,California",GuestStacker Chair with Chrome Finish Legs,Bob Smith,148.7,1487.04,5,2023-12-16,2023-12-23
626149,CUST4039,Male,59,Chairs,34.39,"United States,Los Angeles,California",Bevis Steel Folding Chairs,Ethan Wright,23.03,230.28,3,2024-02-23,2024-02-27
729141,CUST4452,Female,54,Binders,20.96,"United States,Los Angeles,California","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Alice Johnson,5.72,18.29,6,2025-03-04,2025-03-10
299872,CUST6875,Male,61,Art,66.33,"United States,Los Angeles,California",Newell 347,Hannah Brown,6.21,21.4,5,2024-08-17,2024-08-23
875012,CUST8995,Female,55,Labels,70.06,"United States,Los Angeles,California",Avery 495,Alice Johnson,5.8,12.6,2,2024-07-29,2024-08-03
896461,CUST9426,Female,33,Phones,37.65,"United States,San Francisco,California",Samsung Galaxy Mega 6.3,Diana Patel,126.0,1679.96,5,2023-07-20,2023-07-24
940956,CUST8985,Female,41,Furnishings,59.44,"United States,Seattle,Washington","Eldon Regeneration Recycled Desk Accessories, Smoke",Alice Johnson,3.9,12.18,7,2023-04-26,2023-04-29
429919,CUST6656,Female,50,Appliances,152.94,"United States,Seattle,Washington",Holmes Odor Grabber,Bob Smith,19.03,57.68,4,2024-08-25,2024-08-31
207902,CUST8355,Male,64,Binders,94.96,"United States,Los Angeles,California",Wilson Jones Legal Size Ring Binders,Alice Johnson,52.78,140.74,8,2023-07-01,2023-07-04
164727,CUST3557,Male,62,Labels,77.99,"United States,Los Angeles,California",Staples,George Lee,2.72,5.78,2,2025-03-01,2025-03-08
209512,CUST5528,Female,31,Art,74.83,"United States,Los Angeles,California",Model L Table or Wall-Mount Pencil Sharpener,Hannah Brown,30.22,107.94,6,2023-10-02,2023-10-06
838368,CUST6437,Male,42,Accessories,69.57,"United States,San Francisco,California",Kingston Digital DataTraveler 32GB USB 2.0,Ethan Wright,4.07,67.8,4,2023-11-13,2023-11-18
205429,CUST9037,Male,29,Accessories,97.73,"United States,San Francisco,California",Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Ethan Wright,40.31,167.97,3,2023-09-25,2023-09-30
591370,CUST9508,Male,65,Envelopes,82.87,"United States,Kent,Washington","Strathmore #10 Envelopes, Ultimate White",Alice Johnson,77.48,158.13,3,2024-10-26,2024-10-30
520142,CUST1969,Female,18,Phones,94.42,"United States,Kent,Washington","LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Bob Smith,4.36,43.6,5,2024-08-06,2024-08-12
153171,CUST2621,Female,57,Paper,13.67,"United States,San Jose,California",Southworth 25% Cotton Premium Laser Paper and Envelopes,Charlie Davis,19.18,39.96,2,2024-02-03,2024-02-06
193610,CUST3943,Female,29,Phones,51.65,"United States,San Jose,California",Wilson Electronics DB Pro Signal Booster,Bob Smith,125.3,1432.0,5,2023-06-09,2023-06-14
242263,CUST7126,Male,43,Supplies,42.91,"United States,San Jose,California",Acme Design Stainless Steel Bent Scissors,Alice Johnson,11.08,41.04,6,2024-03-28,2024-04-01
488829,CUST9552,Male,52,Chairs,74.88,"United States,San Jose,California",Hon Pagoda Stacking Chairs,Hannah Brown,32.1,256.78,1,2023-10-25,2023-10-28
757119,CUST4412,Male,29,Storage,157.27,"United States,West Jordan,Utah",Fellowes Super Stor/Drawer,Hannah Brown,9.99,55.5,2,2024-03-29,2024-04-04
692059,CUST9531,Male,55,Accessories,97.92,"United States,Oakland,California",Plantronics Audio 478 Stereo USB Headset,Charlie Davis,52.49,149.97,3,2024-11-16,2024-11-20
635210,CUST1030,Female,21,Chairs,44.17,"United States,Los Angeles,California","Iceberg Nesting Folding Chair, 19w x 6d x 43h",Fiona Green,20.96,279.46,6,2023-05-28,2023-05-31
596104,CUST3890,Male,36,Paper,6.53,"United States,Los Angeles,California",EcoTones Memo Sheets,Fiona Green,3.84,8.0,2,2024-04-17,2024-04-24
801033,CUST9926,Female,41,Chairs,21.14,"United States,Los Angeles,California","Iceberg Nesting Folding Chair, 19w x 6d x 43h",Bob Smith,17.47,232.88,5,2023-12-04,2023-12-09
535312,CUST6005,Female,38,Accessories,76.6,"United States,San Francisco,California",ImationÂ Clip USBÂ flash driveÂ - 8 GB,Diana Patel,3.38,56.4,3,2024-07-21,2024-07-28
920717,CUST4130,Female,37,Art,86.81,"United States,San Diego,California",4009 Highlighters by Sanford,Fiona Green,10.51,31.84,8,2024-07-05,2024-07-12
461305,CUST1449,Male,62,Paper,19.2,"United States,Bellevue,Washington",Xerox 1999,Bob Smith,6.22,12.96,2,2024-03-10,2024-03-14
655528,CUST6640,Female,60,Bookcases,213.25,"United States,Los Angeles,California",Sauder Inglewood Library Bookcases,George Lee,27.36,290.67,2,2023-09-17,2023-09-20
610373,CUST7305,Male,23,Phones,18.01,"United States,Los Angeles,California",VTech DS6151,Diana Patel,20.16,201.58,2,2024-01-05,2024-01-09
554539,CUST1877,Female,37,Phones,85.53,"United States,Los Angeles,California",netTALK DUO VoIP Telephone Service,Fiona Green,31.49,83.98,2,2024-01-12,2024-01-19
792175,CUST8741,Female,64,Chairs,66.2,"United States,Los Angeles,California",Hon Olson Stacker Stools,Diana Patel,22.53,225.3,2,2024-03-07,2024-03-12
442694,CUST2949,Female,47,Paper,14.79,"United States,Murray,Utah","Wirebound Service Call Books, 5 1/2"" x 4""",Bob Smith,23.23,48.4,5,2023-03-26,2023-03-29
922173,CUST8537,Male,57,Tables,24.06,"United States,San Diego,California",KI Conference Tables,George Lee,-28.36,567.12,10,2025-01-11,2025-01-15
698579,CUST8065,Female,37,Storage,178.24,"United States,San Diego,California",Fellowes Officeware Wire Shelving,Fiona Green,7.19,359.32,4,2025-03-13,2025-03-16
991258,CUST4310,Female,65,Phones,13.31,"United States,San Francisco,California",Plantronics HL10 Handset Lifter,George Lee,125.27,1113.5,12,2024-05-08,2024-05-15
910958,CUST2949,Male,56,Accessories,18.95,"United States,San Francisco,California",Logitech Wireless Performance Mouse MX for PC and Mac,Diana Patel,38.0,99.99,1,2023-11-17,2023-11-22
738777,CUST4812,Male,62,Phones,81.51,"United States,Seattle,Washington",I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Charlie Davis,5.74,57.41,6,2023-12-06,2023-12-12
363001,CUST6991,Female,45,Accessories,42.75,"United States,Seattle,Washington",ImationÂ 30456 USBÂ Flash DriveÂ 8GB,George Lee,2.21,27.6,4,2024-02-10,2024-02-16
514245,CUST7207,Male,48,Binders,32.04,"United States,Seattle,Washington","Green Canvas Binder for 8-1/2"" x 14"" Sheets",Ethan Wright,51.36,136.96,4,2023-10-10,2023-10-14
598048,CUST2113,Male,45,Binders,10.87,"United States,Orem,Utah",GBC Standard Therm-A-Bind Covers,Charlie Davis,19.44,59.81,3,2024-07-30,2024-08-02
